image_id,label
7981.jpg,0.9244977
6234.jpg,0.0029095286
1269.jpg,0.000302017
3863.jpg,0.00044708553
6241.jpg,0.99532914
10304.jpg,0.4684562
623.jpg,0.9661952
2193.jpg,0.004097649
11925.jpg,0.99996775
3750.jpg,0.99830604
11378.jpg,0.99125046
2008.jpg,0.9107536
10730.jpg,0.99846435
5982.jpg,0.0013740086
7737.jpg,7.5318196e-05
2081.jpg,0.011502923
10597.jpg,0.0011120448
6588.jpg,0.99583787
10054.jpg,0.9976513
7966.jpg,0.015011357
3919.jpg,0.99169403
6197.jpg,0.9984629
10924.jpg,0.9992058
6399.jpg,0.9998935
9960.jpg,0.0010177703
3757.jpg,0.9990442
9131.jpg,0.99117446
9620.jpg,8.429938e-09
9062.jpg,0.00018255328
4489.jpg,6.063543e-06
3138.jpg,0.0002996181
10213.jpg,0.9998716
3417.jpg,0.9999987
6074.jpg,0.99988544
5705.jpg,0.00027445
8953.jpg,0.019002348
764.jpg,0.0016184872
5307.jpg,0.0001686604
7894.jpg,0.99859583
5039.jpg,0.9995265
10305.jpg,0.7149462
4407.jpg,0.99856186
1700.jpg,0.009512588
1786.jpg,9.4415176e-05
2907.jpg,0.9823499
8930.jpg,0.9933415
11138.jpg,0.9999967
6324.jpg,4.3181535e-05
1075.jpg,0.9996129
4969.jpg,0.0328921
8983.jpg,2.2736594e-07
5584.jpg,0.035003293
10627.jpg,4.5256926e-05
9697.jpg,5.0206486e-06
3501.jpg,0.0066309213
10037.jpg,0.9999397
2863.jpg,0.72513926
771.jpg,0.99329764
8352.jpg,8.235671e-16
208.jpg,0.010496095
11868.jpg,0.9998791
4640.jpg,0.0008667675
7222.jpg,9.238978e-06
5333.jpg,0.9919069
4125.jpg,0.071119934
6560.jpg,0.09012185
2628.jpg,0.9997439
10162.jpg,0.00018586937
8104.jpg,0.99334395
3363.jpg,0.99154425
4009.jpg,0.9985499
9645.jpg,0.99994147
9579.jpg,2.9986772e-06
820.jpg,6.622924e-06
6943.jpg,0.99999446
3228.jpg,0.00028280838
8075.jpg,0.00032888178
6272.jpg,0.8309803
1789.jpg,0.0056986967
6365.jpg,0.12796897
6459.jpg,4.108837e-06
5052.jpg,4.8510476e-05
7690.jpg,0.010563891
6653.jpg,6.2692516e-06
473.jpg,1.0
8864.jpg,0.00016198582
3446.jpg,0.064059116
11034.jpg,0.057121363
1792.jpg,0.99694467
4772.jpg,0.5654464
7427.jpg,0.000116796444
8623.jpg,0.99999994
7006.jpg,0.3439433
2936.jpg,1.9671273e-07
2029.jpg,0.78963864
6925.jpg,0.52166873
4313.jpg,0.016177582
6295.jpg,0.014617246
5018.jpg,7.930545e-08
10201.jpg,0.040710073
8914.jpg,0.9999347
11251.jpg,0.9999986
1411.jpg,0.9999948
7918.jpg,1.1878528e-05
4275.jpg,0.94536793
7245.jpg,0.99995536
3532.jpg,0.99989796
7802.jpg,0.9999999
1031.jpg,0.059597664
1833.jpg,0.15995336
11617.jpg,0.9980873
2675.jpg,0.029858619
5627.jpg,0.016988274
6800.jpg,0.9992748
7962.jpg,2.1017592e-09
11921.jpg,0.97103614
10255.jpg,0.9959676
10825.jpg,0.96991134
11236.jpg,0.83181924
2172.jpg,0.0016094141
4765.jpg,0.0001479869
6209.jpg,0.00047118647
6899.jpg,7.050176e-07
8442.jpg,0.755865
11522.jpg,0.021955397
5068.jpg,0.008322421
11529.jpg,6.6805376e-05
11956.jpg,0.00021148426
6229.jpg,0.991129
1749.jpg,0.09945986
1501.jpg,0.019607991
9606.jpg,0.9996555
11684.jpg,0.9999519
8543.jpg,0.21849118
2021.jpg,5.3743417e-05
11855.jpg,0.99780434
5886.jpg,7.552265e-06
7384.jpg,0.0009518055
3899.jpg,1.299443e-06
1995.jpg,0.0005767285
5477.jpg,0.042773917
1385.jpg,0.9999855
3651.jpg,0.9999681
8342.jpg,0.99953735
7544.jpg,0.9964225
4398.jpg,0.99291646
4581.jpg,0.9999946
3537.jpg,0.9619701
5575.jpg,0.120226435
2278.jpg,1.1893462e-06
11901.jpg,0.797309
6831.jpg,0.9678674
8929.jpg,0.9999478
1971.jpg,8.552734e-05
6248.jpg,0.8985207
7061.jpg,1.0
3807.jpg,0.019360602
1383.jpg,0.79763806
9887.jpg,1.0
6337.jpg,8.8480226e-07
8612.jpg,0.04746772
11382.jpg,0.99965775
8218.jpg,0.00029298145
333.jpg,0.0103695
8379.jpg,0.9961728
1354.jpg,0.33158892
11087.jpg,4.654968e-05
5976.jpg,0.0003485608
1024.jpg,0.9999814
537.jpg,0.89774966
6513.jpg,1.6050717e-06
7706.jpg,0.00041811136
10039.jpg,0.0029082964
3014.jpg,0.9977845
8120.jpg,0.0009904541
5147.jpg,0.0011037978
45.jpg,0.00031365379
2375.jpg,0.9999999
7941.jpg,0.9969942
11848.jpg,0.14358026
10550.jpg,2.769226e-07
9486.jpg,0.0011530054
369.jpg,0.987234
1626.jpg,6.052887e-09
6493.jpg,0.99987876
5734.jpg,0.99570286
56.jpg,0.8478024
6797.jpg,1.0
8444.jpg,0.99986213
654.jpg,0.56644785
10598.jpg,0.9990282
4437.jpg,0.9999969
6794.jpg,6.567925e-05
9462.jpg,0.9998645
11682.jpg,0.050548896
8643.jpg,0.9999839
9493.jpg,0.9998493
89.jpg,0.9994632
1711.jpg,5.6831286e-06
11428.jpg,0.99979424
6367.jpg,0.93497103
5853.jpg,0.9999695
5534.jpg,8.554261e-05
20.jpg,2.4374575e-08
7516.jpg,0.0002378562
9083.jpg,0.000746854
1339.jpg,0.998459
6894.jpg,0.00016461205
4979.jpg,0.9996652
9251.jpg,0.118093096
8003.jpg,0.9949318
5392.jpg,0.99999374
6952.jpg,0.030694649
4351.jpg,0.9999982
10062.jpg,0.054166965
9589.jpg,1.0
6059.jpg,0.00063166843
275.jpg,0.99999076
10075.jpg,0.00023096867
6458.jpg,1.1521541e-05
3670.jpg,8.193944e-06
5882.jpg,0.00029902297
2532.jpg,0.9981291
11058.jpg,0.96440345
1161.jpg,0.0069213375
11849.jpg,0.9972954
9868.jpg,0.36599684
785.jpg,0.0047667446
2262.jpg,0.8502217
10611.jpg,0.8613531
2213.jpg,0.9998789
9336.jpg,0.9997922
3645.jpg,0.99997026
1940.jpg,0.99519205
1777.jpg,0.08019094
